date,ticker,open,high,low,close
08/31/2023 00:00:00,AAPL,187.48,187.84,189.12,187.87
07/31/2023 00:00:00,AAPL,195.26,196.06,196.49,196.45
06/30/2023 00:00:00,AAPL,191.26,191.63,194.48,193.97
05/31/2023 00:00:00,AAPL,176.76,177.33,179.35,177.25
04/30/2023 00:00:00,AAPL,167.88,168.49,169.85,169.68
03/31/2023 00:00:00,AAPL,161.91,162.44,165.00,164.90
02/28/2023 00:00:00,AAPL,146.83,147.05,149.08,147.41
01/31/2023 00:00:00,AAPL,142.28,142.70,144.34,144.29
12/31/2022 00:00:00,AAPL,127.43,128.41,129.95,129.93
11/30/2022 00:00:00,AAPL,140.55,141.40,148.72,148.03
10/31/2022 00:00:00,AAPL,151.92,153.16,154.24,153.34
09/30/2022 00:00:00,AAPL,138.00,141.28,143.10,138.20
08/31/2022 00:00:00,AAPL,157.14,160.31,160.58,157.22
07/31/2022 00:00:00,AAPL,159.50,161.24,163.63,162.51
06/30/2022 00:00:00,AAPL,133.77,137.25,138.37,136.72
05/31/2022 00:00:00,AAPL,146.84,149.07,150.66,148.84
04/30/2022 00:00:00,AAPL,157.25,161.84,166.20,157.65
03/31/2022 00:00:00,AAPL,174.40,177.84,178.03,174.61
02/28/2022 00:00:00,AAPL,162.43,163.06,165.42,165.12
01/31/2022 00:00:00,AAPL,169.51,170.16,175.00,174.78
12/31/2021 00:00:00,AAPL,167.48,182.13,157.80,177.57
11/30/2021 00:00:00,AAPL,148.99,165.70,147.48,165.30
10/31/2021 00:00:00,AAPL,141.90,153.17,138.27,149.80
09/30/2021 00:00:00,AAPL,152.83,157.26,141.27,141.50
08/31/2021 00:00:00,AAPL,146.36,153.49,144.50,151.83
07/31/2021 00:00:00,AAPL,136.60,150.00,135.76,145.86
06/30/2021 00:00:00,AAPL,125.08,137.41,123.13,136.96
05/31/2021 00:00:00,AAPL,132.04,134.07,122.25,124.61
04/30/2021 00:00:00,AAPL,123.66,137.07,122.49,131.46
03/31/2021 00:00:00,AAPL,123.75,128.72,116.21,122.15
02/28/2021 00:00:00,AAPL,133.75,137.88,118.39,121.26
01/31/2021 00:00:00,AAPL,133.52,145.09,126.38,131.96
12/31/2020 00:00:00,AAPL,121.01,138.79,120.01,132.69
11/30/2020 00:00:00,AAPL,109.11,121.99,107.32,119.05
10/31/2020 00:00:00,AAPL,117.64,125.39,107.72,108.86
09/30/2020 00:00:00,AAPL,132.76,137.98,103.10,115.81
08/31/2020 00:00:00,AAPL,108.20,131.00,107.89,129.04
07/31/2020 00:00:00,AAPL,91.28,106.42,89.14,106.26
06/30/2020 00:00:00,AAPL,79.44,93.10,79.30,91.20
05/31/2020 00:00:00,AAPL,71.56,81.06,71.46,79.49
04/30/2020 00:00:00,AAPL,61.63,73.63,59.22,73.45
03/31/2020 00:00:00,AAPL,70.57,76.00,53.15,63.57
02/29/2020 00:00:00,AAPL,76.07,81.81,64.09,68.34
01/31/2020 00:00:00,AAPL,74.06,81.96,73.19,77.38
08/31/2023 00:00:00,GOOG,130.85,132.92,127.78,130.17
07/31/2023 00:00:00,GOOG,120.32,134.07,115.83,133.11
06/30/2023 00:00:00,GOOG,123.50,129.55,116.91,120.97
05/31/2023 00:00:00,GOOG,107.72,127.05,104.50,123.37
04/30/2023 00:00:00,GOOG,102.67,109.63,102.38,108.22
03/31/2023 00:00:00,GOOG,90.16,107.51,89.77,104.00
02/28/2023 00:00:00,GOOG,99.74,108.82,88.86,90.30
01/31/2023 00:00:00,GOOG,89.83,101.58,85.57,99.87
12/31/2022 00:00:00,GOOG,101.40,102.59,86.37,88.73
11/30/2022 00:00:00,GOOG,95.59,101.45,83.45,101.45
10/31/2022 00:00:00,GOOG,97.22,105.10,91.90,94.66
09/30/2022 00:00:00,GOOG,109.20,112.64,96.03,96.15
08/31/2022 00:00:00,GOOG,115.53,123.26,108.80,109.15
07/31/2022 00:00:00,GOOG,108.34,120.43,104.76,116.64
06/30/2022 00:00:00,GOOG,114.93,119.40,105.63,109.37
05/31/2022 00:00:00,GOOG,113.91,123.14,102.21,114.04
04/30/2022 00:00:00,GOOG,140.01,144.04,113.12,114.97
03/31/2022 00:00:00,GOOG,134.48,144.16,125.86,139.65
02/28/2022 00:00:00,GOOG,137.84,152.10,124.76,134.89
01/31/2022 00:00:00,GOOG,144.48,146.61,124.64,135.70
12/31/2021 00:00:00,GOOG,144.21,149.60,140.25,144.68
11/30/2021 00:00:00,GOOG,148.16,151.85,142.07,142.45
10/31/2021 00:00:00,GOOG,133.55,149.12,131.17,148.27
09/30/2021 00:00:00,GOOG,145.65,146.82,133.00,133.27
08/31/2021 00:00:00,GOOG,135.48,146.49,134.18,145.46
07/31/2021 00:00:00,GOOG,124.85,140.01,124.85,135.22
06/30/2021 00:00:00,GOOG,121.10,127.80,119.14,125.32
05/31/2021 00:00:00,GOOG,120.14,122.15,111.50,120.58
04/30/2021 00:00:00,GOOG,104.90,122.62,104.84,120.51
03/31/2021 00:00:00,GOOG,102.83,106.44,100.50,103.43
02/28/2021 00:00:00,GOOG,92.68,107.63,92.55,101.84
01/31/2021 00:00:00,GOOG,87.88,96.74,84.95,91.79
12/31/2020 00:00:00,GOOG,88.72,92.36,84.95,87.59
11/30/2020 00:00:00,GOOG,81.41,90.90,80.80,88.04
10/31/2020 00:00:00,GOOG,74.21,84.35,71.80,81.05
09/30/2020 00:00:00,GOOG,81.83,86.66,70.33,73.48
08/31/2020 00:00:00,GOOG,74.33,82.96,72.93,81.71
07/31/2020 00:00:00,GOOG,70.56,79.35,70.49,74.15
06/30/2020 00:00:00,GOOG,70.92,73.80,67.35,70.68
